h1,h2,h3,h4,h5,h6,h7,h8,h9,h10
45.31,78.484,56.363,51.925,48.945,46.546,44.571,45.561,49.442,62.323
78.484,56.363,51.925,48.945,46.546,44.571,45.561,49.442,62.323,69.853
56.363,51.925,48.945,46.546,44.571,45.561,49.442,62.323,69.853,92.09
51.925,48.945,46.546,44.571,45.561,49.442,62.323,69.853,92.09,56.092
48.945,46.546,44.571,45.561,49.442,62.323,69.853,92.09,56.092,59.164
46.546,44.571,45.561,49.442,62.323,69.853,92.09,56.092,59.164,103.088
44.571,45.561,49.442,62.323,69.853,92.09,56.092,59.164,103.088,207.353
45.561,49.442,62.323,69.853,92.09,56.092,59.164,103.088,207.353,180.068
49.442,62.323,69.853,92.09,56.092,59.164,103.088,207.353,180.068,136.042
62.323,69.853,92.09,56.092,59.164,103.088,207.353,180.068,136.042,106.371
69.853,92.09,56.092,59.164,103.088,207.353,180.068,136.042,106.371,91.315
92.09,56.092,59.164,103.088,207.353,180.068,136.042,106.371,91.315,87.045
56.092,59.164,103.088,207.353,180.068,136.042,106.371,91.315,87.045,81.847
59.164,103.088,207.353,180.068,136.042,106.371,91.315,87.045,81.847,66.682
103.088,207.353,180.068,136.042,106.371,91.315,87.045,81.847,66.682,65.652
207.353,180.068,136.042,106.371,91.315,87.045,81.847,66.682,65.652,80.286
180.068,136.042,106.371,91.315,87.045,81.847,66.682,65.652,80.286,81.08
136.042,106.371,91.315,87.045,81.847,66.682,65.652,80.286,81.08,69.239
106.371,91.315,87.045,81.847,66.682,65.652,80.286,81.08,69.239,58.779
91.315,87.045,81.847,66.682,65.652,80.286,81.08,69.239,58.779,77.474
87.045,81.847,66.682,65.652,80.286,81.08,69.239,58.779,77.474,80.961
81.847,66.682,65.652,80.286,81.08,69.239,58.779,77.474,80.961,110.635
66.682,65.652,80.286,81.08,69.239,58.779,77.474,80.961,110.635,140.92
65.652,80.286,81.08,69.239,58.779,77.474,80.961,110.635,140.92,113.736
80.286,81.08,69.239,58.779,77.474,80.961,110.635,140.92,113.736,116.815
81.08,69.239,58.779,77.474,80.961,110.635,140.92,113.736,116.815,95.485
69.239,58.779,77.474,80.961,110.635,140.92,113.736,116.815,95.485,86.108
58.779,77.474,80.961,110.635,140.92,113.736,116.815,95.485,86.108,78.053
77.474,80.961,110.635,140.92,113.736,116.815,95.485,86.108,78.053,67.57
80.961,110.635,140.92,113.736,116.815,95.485,86.108,78.053,67.57,60.213
110.635,140.92,113.736,116.815,95.485,86.108,78.053,67.57,60.213,50.82
140.92,113.736,116.815,95.485,86.108,78.053,67.57,60.213,50.82,43.51
113.736,116.815,95.485,86.108,78.053,67.57,60.213,50.82,43.51,50.08
116.815,95.485,86.108,78.053,67.57,60.213,50.82,43.51,50.08,48.308
95.485,86.108,78.053,67.57,60.213,50.82,43.51,50.08,48.308,49.171
86.108,78.053,67.57,60.213,50.82,43.51,50.08,48.308,49.171,48.114
78.053,67.57,60.213,50.82,43.51,50.08,48.308,49.171,48.114,46.1
67.57,60.213,50.82,43.51,50.08,48.308,49.171,48.114,46.1,33.071
60.213,50.82,43.51,50.08,48.308,49.171,48.114,46.1,33.071,38.69
50.82,43.51,50.08,48.308,49.171,48.114,46.1,33.071,38.69,38.551
43.51,50.08,48.308,49.171,48.114,46.1,33.071,38.69,38.551,34.708
50.08,48.308,49.171,48.114,46.1,33.071,38.69,38.551,34.708,34.813
48.308,49.171,48.114,46.1,33.071,38.69,38.551,34.708,34.813,33.551
49.171,48.114,46.1,33.071,38.69,38.551,34.708,34.813,33.551,33.123
48.114,46.1,33.071,38.69,38.551,34.708,34.813,33.551,33.123,34.13
46.1,33.071,38.69,38.551,34.708,34.813,33.551,33.123,34.13,31.421
33.071,38.69,38.551,34.708,34.813,33.551,33.123,34.13,31.421,30.276
38.69,38.551,34.708,34.813,33.551,33.123,34.13,31.421,30.276,33.25
38.551,34.708,34.813,33.551,33.123,34.13,31.421,30.276,33.25,44.732
34.708,34.813,33.551,33.123,34.13,31.421,30.276,33.25,44.732,36.711
34.813,33.551,33.123,34.13,31.421,30.276,33.25,44.732,36.711,32.914
33.551,33.123,34.13,31.421,30.276,33.25,44.732,36.711,32.914,32.058
33.123,34.13,31.421,30.276,33.25,44.732,36.711,32.914,32.058,36.039
34.13,31.421,30.276,33.25,44.732,36.711,32.914,32.058,36.039,36.653
31.421,30.276,33.25,44.732,36.711,32.914,32.058,36.039,36.653,36.514
30.276,33.25,44.732,36.711,32.914,32.058,36.039,36.653,36.514,38.586
33.25,44.732,36.711,32.914,32.058,36.039,36.653,36.514,38.586,30.646
44.732,36.711,32.914,32.058,36.039,36.653,36.514,38.586,30.646,25.773
36.711,32.914,32.058,36.039,36.653,36.514,38.586,30.646,25.773,23.956
32.914,32.058,36.039,36.653,36.514,38.586,30.646,25.773,23.956,23.806
32.058,36.039,36.653,36.514,38.586,30.646,25.773,23.956,23.806,23.713
36.039,36.653,36.514,38.586,30.646,25.773,23.956,23.806,23.713,23.563
36.653,36.514,38.586,30.646,25.773,23.956,23.806,23.713,23.563,20.125
36.514,38.586,30.646,25.773,23.956,23.806,23.713,23.563,20.125,20.958
38.586,30.646,25.773,23.956,23.806,23.713,23.563,20.125,20.958,27.151
30.646,25.773,23.956,23.806,23.713,23.563,20.125,20.958,27.151,27.243
25.773,23.956,23.806,23.713,23.563,20.125,20.958,27.151,27.243,39.465
23.956,23.806,23.713,23.563,20.125,20.958,27.151,27.243,39.465,61.051
23.806,23.713,23.563,20.125,20.958,27.151,27.243,39.465,61.051,46.375
23.713,23.563,20.125,20.958,27.151,27.243,39.465,61.051,46.375,41.549
23.563,20.125,20.958,27.151,27.243,39.465,61.051,46.375,41.549,38.956
20.125,20.958,27.151,27.243,39.465,61.051,46.375,41.549,38.956,42.451
20.958,27.151,27.243,39.465,61.051,46.375,41.549,38.956,42.451,42.405
27.151,27.243,39.465,61.051,46.375,41.549,38.956,42.451,42.405,36.537
27.243,39.465,61.051,46.375,41.549,38.956,42.451,42.405,36.537,35.148
39.465,61.051,46.375,41.549,38.956,42.451,42.405,36.537,35.148,36.711
61.051,46.375,41.549,38.956,42.451,42.405,36.537,35.148,36.711,37.752
46.375,41.549,38.956,42.451,42.405,36.537,35.148,36.711,37.752,64.173
41.549,38.956,42.451,42.405,36.537,35.148,36.711,37.752,64.173,34.125
38.956,42.451,42.405,36.537,35.148,36.711,37.752,64.173,34.125,29.581
42.451,42.405,36.537,35.148,36.711,37.752,64.173,34.125,29.581,46.884
42.405,36.537,35.148,36.711,37.752,64.173,34.125,29.581,46.884,44.813
36.537,35.148,36.711,37.752,64.173,34.125,29.581,46.884,44.813,75.477
35.148,36.711,37.752,64.173,34.125,29.581,46.884,44.813,75.477,62.31
36.711,37.752,64.173,34.125,29.581,46.884,44.813,75.477,62.31,45.018
37.752,64.173,34.125,29.581,46.884,44.813,75.477,62.31,45.018,33.238
64.173,34.125,29.581,46.884,44.813,75.477,62.31,45.018,33.238,42.613
34.125,29.581,46.884,44.813,75.477,62.31,45.018,33.238,42.613,41.039
29.581,46.884,44.813,75.477,62.31,45.018,33.238,42.613,41.039,38.493
46.884,44.813,75.477,62.31,45.018,33.238,42.613,41.039,38.493,34.373
44.813,75.477,62.31,45.018,33.238,42.613,41.039,38.493,34.373,32.602
75.477,62.31,45.018,33.238,42.613,41.039,38.493,34.373,32.602,31.236
62.31,45.018,33.238,42.613,41.039,38.493,34.373,32.602,31.236,27.336
45.018,33.238,42.613,41.039,38.493,34.373,32.602,31.236,27.336,24.616
33.238,42.613,41.039,38.493,34.373,32.602,31.236,27.336,24.616,23.343
42.613,41.039,38.493,34.373,32.602,31.236,27.336,24.616,23.343,19.384
41.039,38.493,34.373,32.602,31.236,27.336,24.616,23.343,19.384,18.551
38.493,34.373,32.602,31.236,27.336,24.616,23.343,19.384,18.551,19.651
34.373,32.602,31.236,27.336,24.616,23.343,19.384,18.551,19.651,19.06
32.602,31.236,27.336,24.616,23.343,19.384,18.551,19.651,19.06,19.5
31.236,27.336,24.616,23.343,19.384,18.551,19.651,19.06,19.5,21.259
27.336,24.616,23.343,19.384,18.551,19.651,19.06,19.5,21.259,20.345
24.616,23.343,19.384,18.551,19.651,19.06,19.5,21.259,20.345,19.685
23.343,19.384,18.551,19.651,19.06,19.5,21.259,20.345,19.685,17.694
19.384,18.551,19.651,19.06,19.5,21.259,20.345,19.685,17.694,17.058
18.551,19.651,19.06,19.5,21.259,20.345,19.685,17.694,17.058,15.738
19.651,19.06,19.5,21.259,20.345,19.685,17.694,17.058,15.738,4.278
19.06,19.5,21.259,20.345,19.685,17.694,17.058,15.738,4.278,14.706
19.5,21.259,20.345,19.685,17.694,17.058,15.738,4.278,14.706,14.66
21.259,20.345,19.685,17.694,17.058,15.738,4.278,14.706,14.66,16.428
20.345,19.685,17.694,17.058,15.738,4.278,14.706,14.66,16.428,18.072
19.685,17.694,17.058,15.738,4.278,14.706,14.66,16.428,18.072,18.769
17.694,17.058,15.738,4.278,14.706,14.66,16.428,18.072,18.769,15.852
17.058,15.738,4.278,14.706,14.66,16.428,18.072,18.769,15.852,14.88
15.738,4.278,14.706,14.66,16.428,18.072,18.769,15.852,14.88,16.454
4.278,14.706,14.66,16.428,18.072,18.769,15.852,14.88,16.454,15.308
14.706,14.66,16.428,18.072,18.769,15.852,14.88,16.454,15.308,14.183
14.66,16.428,18.072,18.769,15.852,14.88,16.454,15.308,14.183,18.801
16.428,18.072,18.769,15.852,14.88,16.454,15.308,14.183,18.801,26.674
18.072,18.769,15.852,14.88,16.454,15.308,14.183,18.801,26.674,20.609
18.769,15.852,14.88,16.454,15.308,14.183,18.801,26.674,20.609,19
15.852,14.88,16.454,15.308,14.183,18.801,26.674,20.609,19,15.053
14.88,16.454,15.308,14.183,18.801,26.674,20.609,19,15.053,17.032
16.454,15.308,14.183,18.801,26.674,20.609,19,15.053,17.032,30.167
15.308,14.183,18.801,26.674,20.609,19,15.053,17.032,30.167,45.722
14.183,18.801,26.674,20.609,19,15.053,17.032,30.167,45.722,33.641
18.801,26.674,20.609,19,15.053,17.032,30.167,45.722,33.641,7.287
26.674,20.609,19,15.053,17.032,30.167,45.722,33.641,7.287,39.914
20.609,19,15.053,17.032,30.167,45.722,33.641,7.287,39.914,15.725
19,15.053,17.032,30.167,45.722,33.641,7.287,39.914,15.725,13.607
15.053,17.032,30.167,45.722,33.641,7.287,39.914,15.725,13.607,12.944
17.032,30.167,45.722,33.641,7.287,39.914,15.725,13.607,12.944,13.06
30.167,45.722,33.641,7.287,39.914,15.725,13.607,12.944,13.06,14.729
45.722,33.641,7.287,39.914,15.725,13.607,12.944,13.06,14.729,13.954
33.641,7.287,39.914,15.725,13.607,12.944,13.06,14.729,13.954,12.901
7.287,39.914,15.725,13.607,12.944,13.06,14.729,13.954,12.901,8.178
39.914,15.725,13.607,12.944,13.06,14.729,13.954,12.901,8.178,10.623
15.725,13.607,12.944,13.06,14.729,13.954,12.901,8.178,10.623,9.465
13.607,12.944,13.06,14.729,13.954,12.901,8.178,10.623,9.465,8.458
12.944,13.06,14.729,13.954,12.901,8.178,10.623,9.465,8.458,10.021
13.06,14.729,13.954,12.901,8.178,10.623,9.465,8.458,10.021,10.866
14.729,13.954,12.901,8.178,10.623,9.465,8.458,10.021,10.866,12.162
13.954,12.901,8.178,10.623,9.465,8.458,10.021,10.866,12.162,13.401
12.901,8.178,10.623,9.465,8.458,10.021,10.866,12.162,13.401,12.926
8.178,10.623,9.465,8.458,10.021,10.866,12.162,13.401,12.926,12.857
10.623,9.465,8.458,10.021,10.866,12.162,13.401,12.926,12.857,12.451
9.465,8.458,10.021,10.866,12.162,13.401,12.926,12.857,12.451,12.023
8.458,10.021,10.866,12.162,13.401,12.926,12.857,12.451,12.023,12.37
10.021,10.866,12.162,13.401,12.926,12.857,12.451,12.023,12.37,11.641
10.866,12.162,13.401,12.926,12.857,12.451,12.023,12.37,11.641,10.183
12.162,13.401,12.926,12.857,12.451,12.023,12.37,11.641,10.183,7.648
13.401,12.926,12.857,12.451,12.023,12.37,11.641,10.183,7.648,8.979
12.926,12.857,12.451,12.023,12.37,11.641,10.183,7.648,8.979,8.586
12.857,12.451,12.023,12.37,11.641,10.183,7.648,8.979,8.586,12.116
12.451,12.023,12.37,11.641,10.183,7.648,8.979,8.586,12.116,16.491
12.023,12.37,11.641,10.183,7.648,8.979,8.586,12.116,16.491,24.535
12.37,11.641,10.183,7.648,8.979,8.586,12.116,16.491,24.535,39.697
11.641,10.183,7.648,8.979,8.586,12.116,16.491,24.535,39.697,29.982
10.183,7.648,8.979,8.586,12.116,16.491,24.535,39.697,29.982,104.426
7.648,8.979,8.586,12.116,16.491,24.535,39.697,29.982,104.426,95.826
8.979,8.586,12.116,16.491,24.535,39.697,29.982,104.426,95.826,70.19
8.586,12.116,16.491,24.535,39.697,29.982,104.426,95.826,70.19,53.512
12.116,16.491,24.535,39.697,29.982,104.426,95.826,70.19,53.512,43.338
16.491,24.535,39.697,29.982,104.426,95.826,70.19,53.512,43.338,35.468
24.535,39.697,29.982,104.426,95.826,70.19,53.512,43.338,35.468,32.486
39.697,29.982,104.426,95.826,70.19,53.512,43.338,35.468,32.486,26.502
29.982,104.426,95.826,70.19,53.512,43.338,35.468,32.486,26.502,27.127
104.426,95.826,70.19,53.512,43.338,35.468,32.486,26.502,27.127,30.53
95.826,70.19,53.512,43.338,35.468,32.486,26.502,27.127,30.53,23.03
70.19,53.512,43.338,35.468,32.486,26.502,27.127,30.53,23.03,19.141
53.512,43.338,35.468,32.486,26.502,27.127,30.53,23.03,19.141,18.435
43.338,35.468,32.486,26.502,27.127,30.53,23.03,19.141,18.435,18.262
35.468,32.486,26.502,27.127,30.53,23.03,19.141,18.435,18.262,18.019
32.486,26.502,27.127,30.53,23.03,19.141,18.435,18.262,18.019,22.66
26.502,27.127,30.53,23.03,19.141,18.435,18.262,18.019,22.66,17.023
27.127,30.53,23.03,19.141,18.435,18.262,18.019,22.66,17.023,11.456
30.53,23.03,19.141,18.435,18.262,18.019,22.66,17.023,11.456,14.361
23.03,19.141,18.435,18.262,18.019,22.66,17.023,11.456,14.361,18.713
19.141,18.435,18.262,18.019,22.66,17.023,11.456,14.361,18.713,26.248
18.435,18.262,18.019,22.66,17.023,11.456,14.361,18.713,26.248,23.898
18.262,18.019,22.66,17.023,11.456,14.361,18.713,26.248,23.898,23.25
18.019,22.66,17.023,11.456,14.361,18.713,26.248,23.898,23.25,19.257
22.66,17.023,11.456,14.361,18.713,26.248,23.898,23.25,19.257,17.764
17.023,11.456,14.361,18.713,26.248,23.898,23.25,19.257,17.764,17.59
11.456,14.361,18.713,26.248,23.898,23.25,19.257,17.764,17.59,26.306
14.361,18.713,26.248,23.898,23.25,19.257,17.764,17.59,26.306,32.347
18.713,26.248,23.898,23.25,19.257,17.764,17.59,26.306,32.347,21.201
26.248,23.898,23.25,19.257,17.764,17.59,26.306,32.347,21.201,29.674
23.898,23.25,19.257,17.764,17.59,26.306,32.347,21.201,29.674,33.944
23.25,19.257,17.764,17.59,26.306,32.347,21.201,29.674,33.944,34.674
19.257,17.764,17.59,26.306,32.347,21.201,29.674,33.944,34.674,31.607
17.764,17.59,26.306,32.347,21.201,29.674,33.944,34.674,31.607,29.315
17.59,26.306,32.347,21.201,29.674,33.944,34.674,31.607,29.315,29.581
26.306,32.347,21.201,29.674,33.944,34.674,31.607,29.315,29.581,28.319
32.347,21.201,29.674,33.944,34.674,31.607,29.315,29.581,28.319,27.405
21.201,29.674,33.944,34.674,31.607,29.315,29.581,28.319,27.405,24.292
29.674,33.944,34.674,31.607,29.315,29.581,28.319,27.405,24.292,22.822
33.944,34.674,31.607,29.315,29.581,28.319,27.405,24.292,22.822,21.745
34.674,31.607,29.315,29.581,28.319,27.405,24.292,22.822,21.745,19.523
31.607,29.315,29.581,28.319,27.405,24.292,22.822,21.745,19.523,19.569
29.315,29.581,28.319,27.405,24.292,22.822,21.745,19.523,19.569,12.03
29.581,28.319,27.405,24.292,22.822,21.745,19.523,19.569,12.03,18.581
28.319,27.405,24.292,22.822,21.745,19.523,19.569,12.03,18.581,15.664
27.405,24.292,22.822,21.745,19.523,19.569,12.03,18.581,15.664,18.991
24.292,22.822,21.745,19.523,19.569,12.03,18.581,15.664,18.991,17.093
22.822,21.745,19.523,19.569,12.03,18.581,15.664,18.991,17.093,16.884
21.745,19.523,19.569,12.03,18.581,15.664,18.991,17.093,16.884,17.972
19.523,19.569,12.03,18.581,15.664,18.991,17.093,16.884,17.972,11.532
19.569,12.03,18.581,15.664,18.991,17.093,16.884,17.972,11.532,17.296
